141.8.143.182 - - [12/Mar/2016:20:04:40 -0800] "GET /_assets/DiMenna_211.jpg HTTP/1.1" 200 233065 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
64.235.52.218 - - [13/Mar/2016:06:21:47 -0700] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:22:16 -0700] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"[0]
73.165.12.225 - - [13/Mar/2016:06:22:16 -0700] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:22:16 -0700] "GET /_assets/DiMenna_102th.jpg HTTP/1.1" 200 24886 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:22:16 -0700] "GET /_img/alist.png HTTP/1.1" 200 98370 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:22:16 -0700] "GET /_assets/DiMenna_107th.jpg HTTP/1.1" 200 20865 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:22:16 -0700] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:22:16 -0700] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:27:02 -0700] "GET /index.html HTTP/1.1" 200 7545 "http://r.search.yahoo.com/_ylt=A0LEVxuTauVWnDsAgVFXNyoA;_ylu=X3oDMTEycGtoOWFqBGNvbG8DYmYxBHBvcwMxBHZ0aWQDQjE3OTJfMQRzZWMDc3I-/RV=2/RE=1457904404/RO=10/RU=http%3a%2f%2fwww.dimennabrotherspainting.com%2findex.html/RK=0/RS=pJXg0ZVh21kj6JuZmM7cqzHqNWg-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:27:03 -0700] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:27:03 -0700] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:27:03 -0700] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:27:03 -0700] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"[0]
73.165.12.225 - - [13/Mar/2016:06:27:03 -0700] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:27:03 -0700] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
73.165.12.225 - - [13/Mar/2016:06:27:03 -0700] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
100.43.81.138 - - [13/Mar/2016:07:01:54 -0700] "GET / HTTP/1.1" 200 7545 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
141.8.143.143 - - [13/Mar/2016:07:01:54 -0700] "GET / HTTP/1.1" 200 7545 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.dimennabrotherspainting.com"
