46.165.197.141 - - [26/Oct/2015:20:49:38 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
54.186.122.12 - - [26/Oct/2015:22:33:26 -0700] "GET /license.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.13) Gecko/20080311 Firefox/2.0.0.13" "dimennabrotherspainting.com"
50.19.190.248 - - [26/Oct/2015:23:00:24 -0700] "GET / HTTP/1.1" 200 6847 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3 GTB6 (.NET CLR 3.5.30729)" "dimennabrotherspainting.com"
180.76.15.30 - - [26/Oct/2015:23:36:59 -0700] "GET /_css/ HTTP/1.1" 200 1076 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
45.58.38.113 - - [27/Oct/2015:02:41:50 -0700] "GET / HTTP/1.1" 200 6847 "dimennabrotherspainting.com" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36" "dimennabrotherspainting.com"
180.76.15.27 - - [27/Oct/2015:05:47:12 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "dimennabrotherspainting.com"
180.76.15.20 - - [27/Oct/2015:05:49:07 -0700] "GET / HTTP/1.1" 200 6847 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
187.20.156.160 - - [27/Oct/2015:07:10:06 -0700] "GET / HTTP/1.1" 200 6847 "http://rankings-analytics.com/try.php?u=http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
187.20.156.160 - - [27/Oct/2015:07:10:07 -0700] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
187.20.156.160 - - [27/Oct/2015:07:10:08 -0700] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
187.20.156.160 - - [27/Oct/2015:07:10:08 -0700] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
187.20.156.160 - - [27/Oct/2015:07:10:08 -0700] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
187.20.156.160 - - [27/Oct/2015:07:10:08 -0700] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
