141.8.143.137 - - [02/Nov/2015:23:42:57 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
141.8.143.208 - - [03/Nov/2015:01:08:14 -0800] "GET /home HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:29:40 -0800] "GET /robots.txt HTTP/1.1" 200 54 "http://www.dimennabrotherspainting.com/robots.txt" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:29:40 -0800] "GET / HTTP/1.1" 200 35300 "http://www.dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:29:40 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:11 -0800] "GET /home HTTP/1.1" 200 35300 "http://www.dimennabrotherspainting.com/home" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:11 -0800] "GET /home HTTP/1.1" 200 35300 "-" "Mozilla" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:11 -0800] "GET /contact_us HTTP/1.1" 200 48233 "http://www.dimennabrotherspainting.com/contact_us" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:12 -0800] "GET /contact_us HTTP/1.1" 200 48233 "-" "Mozilla" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:13 -0800] "GET /about_us HTTP/1.1" 200 14656 "http://www.dimennabrotherspainting.com/about_us" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:13 -0800] "GET /services HTTP/1.1" 200 16981 "http://www.dimennabrotherspainting.com/services" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:13 -0800] "GET /about_us HTTP/1.1" 200 15100 "-" "Mozilla" "www.dimennabrotherspainting.com"
64.79.100.39 - - [03/Nov/2015:02:30:13 -0800] "GET /services HTTP/1.1" 200 17425 "-" "Mozilla" "www.dimennabrotherspainting.com"
201.18.252.3 - - [03/Nov/2015:05:47:32 -0800] "GET / HTTP/1.1" 200 35300 "http://rankings-analytics.com/try.php?u=http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36" "dimennabrotherspainting.com"
201.18.252.3 - - [03/Nov/2015:05:47:34 -0800] "GET /yahoo_site_admin/assets/images/power-washing3.187134423_std.jpg HTTP/1.1" 200 135008 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36" "dimennabrotherspainting.com"
201.18.252.3 - - [03/Nov/2015:05:47:34 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36" "dimennabrotherspainting.com"
201.18.252.3 - - [03/Nov/2015:05:47:34 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36" "dimennabrotherspainting.com"
180.153.236.188 - - [03/Nov/2015:12:32:39 -0800] "GET / HTTP/1.1" 200 34856 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)" "dimennabrotherspainting.com"
212.7.220.173 - - [03/Nov/2015:14:53:39 -0800] "GET /about_us HTTP/1.1" 200 15100 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0" "dimennabrotherspainting.com"
212.7.220.173 - - [03/Nov/2015:14:53:39 -0800] "GET /services HTTP/1.1" 200 17425 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "dimennabrotherspainting.com"
