180.76.15.11 - - [05/Nov/2015:19:05:38 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
180.76.15.27 - - [05/Nov/2015:19:05:39 -0800] "GET /_css/ HTTP/1.1" 200 1076 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
122.3.33.177 - - [05/Nov/2015:23:54:05 -0800] "GET / HTTP/1.1" 200 35300 "http://rankings-analytics.com/try.php?u=http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
122.3.33.177 - - [05/Nov/2015:23:54:06 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
122.3.33.177 - - [05/Nov/2015:23:54:06 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
180.76.15.159 - - [06/Nov/2015:05:20:41 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
180.76.15.151 - - [06/Nov/2015:09:07:50 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
131.253.38.67 - - [06/Nov/2015:12:03:46 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [06/Nov/2015:12:03:47 -0800] "GET /bingsiteauth.xml HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:23:33 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.72 Safari/537.36" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:23:56 -0800] "GET /home HTTP/1.1" 200 35300 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:23:56 -0800] "GET /about_us HTTP/1.1" 200 14656 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.72 Safari/537.36" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:23:56 -0800] "GET /contact_us HTTP/1.1" 200 47789 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:23:58 -0800] "GET /services HTTP/1.1" 200 16981 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:34 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:34 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:34 -0800] "GET /yahoo_site_admin/assets/images/house_2.202134301_std.JPG HTTP/1.1" 200 97042 "-" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.91 Safari/534.30" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:36 -0800] "GET /yahoo_site_admin/assets/images/house1.202134322_std.JPG HTTP/1.1" 200 135219 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:37 -0800] "GET /yahoo_site_admin/assets/images/powerwashing.187140110_std.jpg HTTP/1.1" 200 81050 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:37 -0800] "GET /yahoo_site_admin/assets/images/deck2.202132808_std.JPG HTTP/1.1" 200 131025 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:39 -0800] "GET /yahoo_site_admin/assets/images/deck1.202132539_std.JPG HTTP/1.1" 200 93817 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:41 -0800] "GET /yahoo_site_admin/assets/images/power-washing3.187134423_std.jpg HTTP/1.1" 200 135008 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)" "www.dimennabrotherspainting.com"
82.80.230.228 - - [06/Nov/2015:14:32:41 -0800] "GET /assets/skins/sam/sprite.png HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36" "www.dimennabrotherspainting.com"
