157.55.39.73 - - [09/Nov/2015:19:44:09 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "dimennabrotherspainting.com"
157.55.39.73 - - [09/Nov/2015:19:47:01 -0800] "GET /services HTTP/1.1" 200 16981 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "dimennabrotherspainting.com"
66.249.89.11 - - [10/Nov/2015:04:05:36 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (compatible; Google-Site-Verification/1.0)" "dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:06:26 -0800] "GET / HTTP/1.1" 200 35300 "https://www.google.com/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:06:26 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:07:12 -0800] "GET /yahoo_site_admin/assets/images/deck2.202132808_std.JPG HTTP/1.1" 200 131025 "http://www.dimennabrotherspainting.com/services" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:07:31 -0800] "GET /about_us HTTP/1.1" 200 14656 "http://www.dimennabrotherspainting.com/services" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:12:03 -0800] "GET /about_us HTTP/1.1" 200 15100 "http://www.dimennabrotherspainting.com/services" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:12:03 -0800] "GET /yahoo_site_admin/assets/images/Renovations-Remodeling.187141055_std.jpg HTTP/1.1" 200 65265 "http://www.dimennabrotherspainting.com/about_us" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:12:03 -0800] "GET /yahoo_site_admin/assets/images/house_2.202134301_std.JPG HTTP/1.1" 200 97042 "http://www.dimennabrotherspainting.com/about_us" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
107.72.164.123 - - [10/Nov/2015:05:12:08 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4" "www.dimennabrotherspainting.com"
168.61.17.18 - - [10/Nov/2015:05:28:13 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
168.61.17.18 - - [10/Nov/2015:05:28:30 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
131.253.38.67 - - [10/Nov/2015:08:11:33 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [10/Nov/2015:08:11:34 -0800] "GET /LiveSearchSiteAuth.xml HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
180.76.15.7 - - [10/Nov/2015:14:14:18 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.dimennabrotherspainting.com"
180.76.15.24 - - [10/Nov/2015:15:16:51 -0800] "GET /services HTTP/1.1" 200 17425 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
