66.249.64.25 - - [12/Nov/2015:01:29:57 -0800] "GET /contact_us HTTP/1.1" 200 48233 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "dimennabrotherspainting.com"
180.76.15.138 - - [12/Nov/2015:05:04:41 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
180.76.15.20 - - [12/Nov/2015:05:04:42 -0800] "GET /_css/ HTTP/1.1" 200 1076 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
54.144.211.168 - - [12/Nov/2015:05:29:13 -0800] "GET / HTTP/1.1" 200 34856 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3 GTB6 (.NET CLR 3.5.30729)" "dimennabrotherspainting.com"
182.118.60.13 - - [12/Nov/2015:05:35:52 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25" "dimennabrotherspainting.com"
207.46.13.3 - - [12/Nov/2015:07:18:42 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
207.46.13.3 - - [12/Nov/2015:07:18:50 -0800] "GET /services.html HTTP/1.1" 200 6656 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
40.77.167.45 - - [12/Nov/2015:07:19:12 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
40.77.167.43 - - [12/Nov/2015:07:28:12 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
40.77.167.43 - - [12/Nov/2015:07:28:13 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
40.77.167.43 - - [12/Nov/2015:07:28:13 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
162.210.196.97 - - [12/Nov/2015:07:28:55 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
199.30.25.3 - - [12/Nov/2015:08:20:10 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.dimennabrotherspainting.com"
73.188.139.57 - - [12/Nov/2015:09:02:33 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0" "www.dimennabrotherspainting.com"
73.188.139.57 - - [12/Nov/2015:09:02:33 -0800] "GET /_css/lightbox.css HTTP/1.1" 200 3874 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0" "www.dimennabrotherspainting.com"
73.188.139.57 - - [12/Nov/2015:09:02:33 -0800] "GET /_assets/DiMenna_206th.jpg HTTP/1.1" 200 33716 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0" "www.dimennabrotherspainting.com"
73.188.139.57 - - [12/Nov/2015:09:02:33 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0" "www.dimennabrotherspainting.com"
73.188.139.57 - - [12/Nov/2015:09:02:33 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0" "www.dimennabrotherspainting.com"
73.188.139.57 - - [12/Nov/2015:09:02:33 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0" "www.dimennabrotherspainting.com"
207.46.13.158 - - [12/Nov/2015:13:07:24 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
207.46.13.158 - - [12/Nov/2015:13:07:27 -0800] "GET / HTTP/1.1" 200 35300 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
