66.249.64.147 - - [17/Nov/2015:19:46:37 -0800] "GET /services/ HTTP/1.1" 200 16978 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "dimennabrotherspainting.com"
180.76.15.5 - - [18/Nov/2015:01:32:59 -0800] "GET /contact_us HTTP/1.1" 200 47786 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
50.253.153.58 - - [18/Nov/2015:07:48:57 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "dimennabrotherspainting.com"
50.253.153.58 - - [18/Nov/2015:07:49:26 -0800] "GET / HTTP/1.1" 200 35297 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
50.253.153.58 - - [18/Nov/2015:07:49:26 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
50.253.153.58 - - [18/Nov/2015:07:49:26 -0800] "GET /yahoo_site_admin/assets/images/power-washing3.187134423_std.jpg HTTP/1.1" 200 135008 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
50.253.153.58 - - [18/Nov/2015:07:49:26 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
131.253.38.67 - - [18/Nov/2015:12:08:14 -0800] "GET / HTTP/1.1" 200 35297 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [18/Nov/2015:12:08:14 -0800] "GET /bingsiteauth.xml HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:37:27 -0800] "GET / HTTP/1.1" 200 35297 "http://www.google.com/url?sa=t&rct=j&q=dimenna+brothers+painting&source=web&cd=4&ved=0CDcQ_BcoADADahUKEwju7_DN6ZrJAhVJOD4KHQSZDUg&url=http%3A%2F%2Fdimennabrotherspainting.com%2F&usg=AFQjCNFHEB-fj_nSNVDfjPnZlXygsydslw" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:37:27 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:37:28 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:38:11 -0800] "GET / HTTP/1.1" 200 35297 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:38:11 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "dimennabrotherspainting.com"
