180.76.15.24 - - [28/Nov/2015:16:49:43 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.dimennabrotherspainting.com"
45.55.146.21 - - [28/Nov/2015:22:45:57 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "dimennabrotherspainting.com"
45.55.146.21 - - [28/Nov/2015:22:45:57 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "dimennabrotherspainting.com"
45.55.146.21 - - [28/Nov/2015:22:45:58 -0800] "GET /services.html HTTP/1.1" 200 6875 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "dimennabrotherspainting.com"
45.55.146.21 - - [28/Nov/2015:22:45:58 -0800] "GET /index.html HTTP/1.1" 200 6951 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; rv:28.0) Gecko/20100101 Firefox/28.0" "dimennabrotherspainting.com"
45.55.146.21 - - [28/Nov/2015:22:45:58 -0800] "GET /about.html HTTP/1.1" 200 6204 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; rv:28.0) Gecko/20100101 Firefox/28.0" "dimennabrotherspainting.com"
207.241.237.209 - - [29/Nov/2015:02:58:48 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)" "dimennabrotherspainting.com"
207.241.237.209 - - [29/Nov/2015:02:58:52 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)" "dimennabrotherspainting.com"
207.241.237.209 - - [29/Nov/2015:03:33:43 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)" "dimennabrotherspainting.com"
207.241.237.209 - - [29/Nov/2015:04:36:43 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:06 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:07 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:08 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:08 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:09 -0800] "GET /_assets/DiMenna_102th.jpg HTTP/1.1" 200 24886 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:09 -0800] "GET /_assets/DiMenna_105th.jpg HTTP/1.1" 200 20509 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_107th.jpg HTTP/1.1" 200 20865 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_108th.jpg HTTP/1.1" 200 146245 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_110th.jpg HTTP/1.1" 200 27731 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
