141.8.143.218 - - [04/Dec/2015:18:00:47 -0800] "GET /_assets/DiMenna_112.jpg HTTP/1.1" 200 804302 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
173.255.243.26 - - [05/Dec/2015:05:06:33 -0800] "HEAD / HTTP/1.1" 200 0 "http://scripted.com/dimennabrotherspainting.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36" "dimennabrotherspainting.com"
157.55.39.44 - - [05/Dec/2015:05:31:11 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
157.55.39.44 - - [05/Dec/2015:05:31:18 -0800] "GET /services HTTP/1.1" 200 16978 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
62.233.56.228 - - [05/Dec/2015:10:30:29 -0800] "GET /services HTTP/1.1" 200 17422 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "dimennabrotherspainting.com"
66.220.146.28 - - [05/Dec/2015:10:35:29 -0800] "GET / HTTP/1.1" 200 6951 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.28 - - [05/Dec/2015:10:35:31 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.25 - - [05/Dec/2015:10:35:31 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.26 - - [05/Dec/2015:10:35:31 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.23 - - [05/Dec/2015:10:35:31 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.24 - - [05/Dec/2015:10:35:31 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.24 - - [05/Dec/2015:10:35:31 -0800] "GET /_img/alist.png HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.21 - - [05/Dec/2015:10:35:31 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.29 - - [05/Dec/2015:10:35:31 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.20 - - [05/Dec/2015:10:35:31 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.121 - - [05/Dec/2015:10:35:33 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.121 - - [05/Dec/2015:10:35:33 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.117 - - [05/Dec/2015:10:35:33 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.117 - - [05/Dec/2015:10:35:33 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.117 - - [05/Dec/2015:10:35:33 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:49 -0800] "GET /index.html HTTP/1.1" 200 6951 "http://dimennabrotherspainting.com/contact.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:49 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:49 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
