65.181.123.129 - - [05/Dec/2015:16:34:59 -0800] "GET / HTTP/1.1" 200 6951 "-" "AdnormCrawler www.adnorm.com/crawler" "www.dimennabrotherspainting.com"
100.43.90.10 - - [05/Dec/2015:19:58:01 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
198.27.82.152 - - [05/Dec/2015:22:03:25 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
100.43.90.11 - - [06/Dec/2015:02:36:40 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
104.236.236.26 - - [06/Dec/2015:04:40:19 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "dimennabrotherspainting.com"
104.236.236.26 - - [06/Dec/2015:04:40:22 -0800] "GET /index.html HTTP/1.1" 200 6951 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "dimennabrotherspainting.com"
104.236.236.26 - - [06/Dec/2015:04:40:22 -0800] "GET /services.html HTTP/1.1" 200 6875 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "dimennabrotherspainting.com"
173.255.243.26 - - [06/Dec/2015:05:08:56 -0800] "HEAD / HTTP/1.1" 200 0 "http://scripted.com/dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0" "dimennabrotherspainting.com"
100.43.90.8 - - [06/Dec/2015:06:04:46 -0800] "GET /_assets/DiMenna_109.jpg HTTP/1.1" 200 162088 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:47 -0800] "GET / HTTP/1.1" 200 6951 "http://r.search.yahoo.com/_ylt=A0LEVynrV2RWslcAy.RXNyoA;_ylu=X3oDMTExbXNmZDZhBGNvbG8DYmYxBHBvcwMxBHZ0aWQDREZENV8xBHNlYwNzcg--/RV=2/RE=1449445484/RO=10/RU=http%3a%2f%2fwww.dimennabrotherspainting.com%2f/RK=0/RS=20VwdcFiQclnv62qyHzJsfIL6uo-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:47 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:47 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:47 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:48 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:48 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
