141.8.143.182 - - [17/Dec/2015:18:19:17 -0800] "GET /yahoo_site_admin/assets/images/Renovations-Remodeling.187141055_std.jpg HTTP/1.1" 200 65265 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
45.33.61.138 - - [17/Dec/2015:20:06:38 -0800] "HEAD / HTTP/1.1" 200 0 "http://scripted.com/dimennabrotherspainting.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
157.55.39.164 - - [18/Dec/2015:00:30:38 -0800] "GET /services HTTP/1.1" 200 16978 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
157.55.39.164 - - [18/Dec/2015:00:45:58 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
52.53.223.155 - - [18/Dec/2015:03:23:18 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.dimennabrotherspainting.com"
