40.77.167.22 - - [24/Dec/2015:16:11:54 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
180.76.15.10 - - [24/Dec/2015:17:17:49 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
180.76.15.145 - - [24/Dec/2015:17:17:50 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
141.8.143.153 - - [24/Dec/2015:17:49:57 -0800] "GET /_assets/DiMenna_203.jpg HTTP/1.1" 200 161202 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
40.117.149.165 - - [24/Dec/2015:18:15:53 -0800] "HEAD / HTTP/1.1" 200 0 "-" "python-requests/2.5.3 CPython/2.7.6 Linux/3.16.0-43-generic" "dimennabrotherspainting.com"
40.117.149.165 - - [24/Dec/2015:18:15:55 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "python-requests/2.5.3 CPython/2.7.6 Linux/3.16.0-43-generic" "dimennabrotherspainting.com"
40.117.149.165 - - [24/Dec/2015:18:15:57 -0800] "GET / HTTP/1.1" 200 6951 "-" "semanticbot" "dimennabrotherspainting.com"
40.117.149.165 - - [24/Dec/2015:18:15:59 -0800] "GET /contact.php HTTP/1.1" 200 4804 "-" "semanticbot" "dimennabrotherspainting.com"
40.117.149.165 - - [24/Dec/2015:18:16:02 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "semanticbot" "dimennabrotherspainting.com"
40.117.149.165 - - [24/Dec/2015:18:16:04 -0800] "GET /services.html HTTP/1.1" 200 6875 "-" "semanticbot" "dimennabrotherspainting.com"
40.117.149.165 - - [24/Dec/2015:18:16:06 -0800] "GET /about.html HTTP/1.1" 200 6204 "-" "semanticbot" "dimennabrotherspainting.com"
100.43.81.155 - - [24/Dec/2015:18:51:06 -0800] "GET /_assets/DiMenna_204.jpg HTTP/1.1" 200 166478 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
100.43.91.2 - - [24/Dec/2015:19:20:29 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
199.21.99.197 - - [24/Dec/2015:20:29:18 -0800] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
141.8.143.217 - - [24/Dec/2015:21:37:38 -0800] "GET /_assets/DiMenna_204th.jpg HTTP/1.1" 200 20335 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
51.255.51.249 - - [24/Dec/2015:22:11:10 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
51.255.51.249 - - [24/Dec/2015:22:11:13 -0800] "GET /about.html HTTP/1.1" 200 6204 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
51.255.51.249 - - [24/Dec/2015:22:11:17 -0800] "GET /contact.php HTTP/1.1" 200 4804 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
51.255.51.249 - - [24/Dec/2015:22:11:20 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
51.255.51.249 - - [24/Dec/2015:22:11:22 -0800] "GET /services.html HTTP/1.1" 200 6875 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
64.235.52.218 - - [25/Dec/2015:04:54:41 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
64.235.52.218 - - [25/Dec/2015:04:54:41 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
