180.76.15.15 - - [30/Dec/2015:17:19:18 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
66.249.75.218 - - [30/Dec/2015:19:13:42 -0800] "GET /home HTTP/1.1" 200 34853 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "dimennabrotherspainting.com"
157.55.39.207 - - [30/Dec/2015:23:07:43 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
157.55.39.207 - - [30/Dec/2015:23:07:56 -0800] "GET /about_us HTTP/1.1" 200 15097 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:39 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:39 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:39 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:39 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:39 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:39 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:39 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:40 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:40 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:41 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
144.228.41.30 - - [31/Dec/2015:04:20:42 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "dimennabrotherspainting.com"
64.235.52.218 - - [31/Dec/2015:04:59:08 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
64.235.52.218 - - [31/Dec/2015:04:59:08 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
158.69.215.11 - - [31/Dec/2015:11:16:22 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "www.dimennabrotherspainting.com"
