69.30.244.186 - - [31/Dec/2015:21:18:29 -0800] "GET /wp-login.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "dimennabrotherspainting.com"
158.69.215.11 - - [31/Dec/2015:22:59:52 -0800] "GET /images/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" "www.dimennabrotherspainting.com"
5.9.85.4 - - [01/Jan/2016:00:41:12 -0800] "GET /about.html HTTP/1.1" 200 6204 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
5.9.85.4 - - [01/Jan/2016:00:41:16 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:50 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:51 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:51 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:52 -0800] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:53 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:53 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:53 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:53 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:54 -0800] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/601.1 CFNetwork/758.2.8 Darwin/15.0.0" "www.dimennabrotherspainting.com"
50.150.141.186 - - [01/Jan/2016:02:05:54 -0800] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 89 "-" "MobileSafari/601.1 CFNetwork/758.2.8 Darwin/15.0.0" "www.dimennabrotherspainting.com"
64.235.52.218 - - [01/Jan/2016:04:47:44 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
64.235.52.218 - - [01/Jan/2016:04:47:44 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
192.99.107.208 - - [01/Jan/2016:07:35:51 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "dimennabrotherspainting.com"
192.99.107.208 - - [01/Jan/2016:07:35:51 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "dimennabrotherspainting.com"
159.203.236.210 - - [01/Jan/2016:11:30:27 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "python-requests/2.6.0 CPython/2.7.3 Linux/3.2.0-4-686-pae" "dimennabrotherspainting.com"
159.203.236.210 - - [01/Jan/2016:11:30:38 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "semanticbot" "dimennabrotherspainting.com"
159.203.236.210 - - [01/Jan/2016:11:30:46 -0800] "GET /about.html HTTP/1.1" 200 6204 "-" "semanticbot" "dimennabrotherspainting.com"
69.30.221.250 - - [01/Jan/2016:13:20:09 -0800] "GET /about_us HTTP/1.1" 200 14653 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
