104.236.243.138 - - [01/Jan/2016:18:46:31 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "dimennabrotherspainting.com"
104.236.243.138 - - [01/Jan/2016:18:46:32 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0" "dimennabrotherspainting.com"
173.252.88.88 - - [02/Jan/2016:07:47:38 -0800] "GET / HTTP/1.1" 200 6951 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.28 - - [02/Jan/2016:07:47:38 -0800] "GET / HTTP/1.1" 200 6951 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.88 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.93 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.95 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.94 - - [02/Jan/2016:07:47:39 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.95 - - [02/Jan/2016:07:47:39 -0800] "GET /_img/alist.png HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.89 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.94 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.88.84 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.26 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.23 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.31 - - [02/Jan/2016:07:47:39 -0800] "GET /_img/alist.png HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.31 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.25 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.25 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.20 - - [02/Jan/2016:07:47:39 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.115 - - [02/Jan/2016:07:47:39 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.112 - - [02/Jan/2016:07:47:40 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.116 - - [02/Jan/2016:07:47:40 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.113 - - [02/Jan/2016:07:47:40 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.115 - - [02/Jan/2016:07:47:40 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.81.114 - - [02/Jan/2016:07:47:40 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.81.112 - - [02/Jan/2016:07:47:40 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.81.115 - - [02/Jan/2016:07:47:40 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.81.117 - - [02/Jan/2016:07:47:40 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.81.113 - - [02/Jan/2016:07:47:40 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.81.119 - - [02/Jan/2016:07:47:40 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
131.253.38.67 - - [02/Jan/2016:11:09:49 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [02/Jan/2016:11:09:50 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [02/Jan/2016:11:09:50 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "dimennabrotherspainting.com"
