136.243.48.84 - - [17/Jan/2016:19:15:04 -0800] "GET /index.html HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36" "dimennabrotherspainting.com"
69.84.207.246 - - [17/Jan/2016:20:21:44 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows; U; MSIE 9.0; Windows NT 9.0; en-US" "dimennabrotherspainting.com"
69.84.207.246 - - [17/Jan/2016:20:21:44 -0800] "GET /about.html HTTP/1.1" 200 6204 "-" "Mozilla/5.0 (Windows; U; MSIE 9.0; Windows NT 9.0; en-US" "www.dimennabrotherspainting.com"
66.249.75.202 - - [17/Jan/2016:22:04:53 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
207.46.13.32 - - [18/Jan/2016:04:47:19 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "dimennabrotherspainting.com"
207.46.13.32 - - [18/Jan/2016:04:47:29 -0800] "GET /contact_us HTTP/1.1" 200 47786 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "dimennabrotherspainting.com"
64.235.52.218 - - [18/Jan/2016:05:25:16 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
36.224.49.194 - - [18/Jan/2016:12:31:02 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "dimennabrotherspainting.com"
192.99.107.181 - - [18/Jan/2016:13:01:26 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "dimennabrotherspainting.com"
69.58.178.59 - - [18/Jan/2016:13:22:09 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.dimennabrotherspainting.com"
69.58.178.59 - - [18/Jan/2016:13:22:12 -0800] "GET / HTTP/1.1" 200 6951 "-" "BlackBerry9000/4.6.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 ips-agent" "www.dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:00:45 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:00:46 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:00:46 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:00:46 -0800] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:00:46 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:00:47 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /_css/lightbox.css HTTP/1.1" 200 3874 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /_assets/DiMenna_103th.jpg HTTP/1.1" 200 21184 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
