212.83.177.193 - - [02/Feb/2016:17:51:43 -0800] "GET /contact_us HTTP/1.1" 200 47786 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
64.235.52.218 - - [03/Feb/2016:06:26:25 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
14.186.27.23 - - [03/Feb/2016:12:30:19 -0800] "GET /?author=1 HTTP/1.1" 200 6951 "-" "Chilkat/1.0.0 (+http://www.chilkatsoft.com/ChilkatHttpUA.asp)" "dimennabrotherspainting.com"
14.186.27.23 - - [03/Feb/2016:12:30:20 -0800] "GET /administrator/index.php HTTP/1.1" 404 89 "-" "Chilkat/1.0.0 (+http://www.chilkatsoft.com/ChilkatHttpUA.asp)" "dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:50 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko/20100101 Firefox/12.0" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:50 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:50 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:50 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:50 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:50 -0800] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:50 -0800] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
