66.249.66.38 - - [09/Feb/2016:22:00:26 -0800] "GET /about_us HTTP/1.1" 200 14653 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.dimennabrotherspainting.com"
71.189.164.218 - - [09/Feb/2016:23:40:25 -0800] "GET / HTTP/1.1" 200 6951 "-" "'Mozilla/5.0 (compatible; GimmeUSAbot/1.0; +https://gimmeusa.com/crawler.html)'" "dimennabrotherspainting.com"
51.254.215.140 - - [10/Feb/2016:00:24:06 -0800] "GET /services HTTP/1.1" 200 17422 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
178.140.121.132 - - [10/Feb/2016:01:20:01 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "dimennabrotherspainting.com"
178.140.121.132 - - [10/Feb/2016:01:20:01 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "dimennabrotherspainting.com"
178.140.121.132 - - [10/Feb/2016:01:20:01 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "dimennabrotherspainting.com"
178.140.121.132 - - [10/Feb/2016:01:20:03 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)" "dimennabrotherspainting.com"
72.78.202.120 - - [10/Feb/2016:06:44:27 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
72.78.202.120 - - [10/Feb/2016:06:44:28 -0800] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
72.78.202.120 - - [10/Feb/2016:06:44:28 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
72.78.202.120 - - [10/Feb/2016:06:44:29 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
72.78.202.120 - - [10/Feb/2016:06:44:36 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
72.78.202.120 - - [10/Feb/2016:06:44:36 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
180.76.15.25 - - [10/Feb/2016:12:58:50 -0800] "GET /_js/?N=D HTTP/1.1" 200 1105 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
173.252.120.107 - - [10/Feb/2016:13:25:19 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
54.166.3.166 - - [10/Feb/2016:15:01:14 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3 GTB6 (.NET CLR 3.5.30729)" "dimennabrotherspainting.com"
131.253.38.67 - - [10/Feb/2016:15:23:16 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [10/Feb/2016:15:23:17 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "dimennabrotherspainting.com"
