157.55.39.14 - - [14/Feb/2016:18:35:18 -0800] "GET /services.html HTTP/1.1" 200 6875 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
45.55.133.235 - - [15/Feb/2016:03:46:55 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "dimennabrotherspainting.com"
45.55.133.235 - - [15/Feb/2016:03:46:56 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "dimennabrotherspainting.com"
45.55.133.235 - - [15/Feb/2016:03:46:56 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "dimennabrotherspainting.com"
64.235.52.218 - - [15/Feb/2016:04:45:00 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
64.235.52.218 - - [15/Feb/2016:04:45:00 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
141.8.143.182 - - [15/Feb/2016:05:27:29 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
141.8.143.151 - - [15/Feb/2016:05:27:34 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
141.8.143.182 - - [15/Feb/2016:05:27:40 -0800] "GET /home HTTP/1.1" 200 34853 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
141.8.143.163 - - [15/Feb/2016:05:27:49 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
173.252.90.241 - - [15/Feb/2016:07:11:33 -0800] "GET / HTTP/1.1" 200 6951 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.146.22 - - [15/Feb/2016:07:11:33 -0800] "GET / HTTP/1.1" 200 6951 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.119 - - [15/Feb/2016:07:11:34 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.121 - - [15/Feb/2016:07:11:34 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.120 - - [15/Feb/2016:07:11:34 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.117 - - [15/Feb/2016:07:11:34 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.121 - - [15/Feb/2016:07:11:34 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
69.171.228.123 - - [15/Feb/2016:07:11:34 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.118 - - [15/Feb/2016:07:11:34 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.113 - - [15/Feb/2016:07:11:34 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.80.116 - - [15/Feb/2016:07:11:34 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
