176.31.39.23 - - [24/Feb/2016:17:08:43 -0800] "GET /contact_us HTTP/1.1" 200 48230 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
173.252.90.106 - - [24/Feb/2016:17:14:53 -0800] "GET / HTTP/1.1" 200 6951 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:14:53 -0800] "GET / HTTP/1.1" 200 6951 "https://m.facebook.com/" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:14:54 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:14:54 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:14:54 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
66.220.155.252 - - [24/Feb/2016:17:14:54 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:14:54 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
66.220.155.250 - - [24/Feb/2016:17:14:54 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.155.246 - - [24/Feb/2016:17:14:54 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.155.246 - - [24/Feb/2016:17:14:54 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
