180.153.236.140 - - [04/Mar/2016:18:40:35 -0800] "GET / HTTP/1.1" 200 6951 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)" "dimennabrotherspainting.com"
100.43.90.9 - - [04/Mar/2016:23:02:10 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "dimennabrotherspainting.com"
40.77.167.45 - - [04/Mar/2016:23:18:33 -0800] "GET /contact.php HTTP/1.1" 200 4804 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
176.31.39.23 - - [05/Mar/2016:02:20:53 -0800] "GET /contact_us HTTP/1.1" 200 47786 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
40.77.167.45 - - [05/Mar/2016:02:33:26 -0800] "GET /contact.php HTTP/1.1" 200 4804 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
176.36.80.39 - - [05/Mar/2016:04:49:05 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
176.36.80.39 - - [05/Mar/2016:04:49:06 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
64.235.52.218 - - [05/Mar/2016:05:02:15 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
64.235.52.218 - - [05/Mar/2016:05:02:15 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
178.203.146.227 - - [05/Mar/2016:05:58:04 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
54.209.209.198 - - [05/Mar/2016:11:02:20 -0800] "HEAD / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows; U; MSIE 9.0; Windows NT 9.0; en-US)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:13:55:58 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:13:55:58 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Safari/10601.4.4 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:13:55:58 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/10601.4.4 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:13:55:58 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.4.4 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:13:56:07 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/10601.4.4 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:13:56:07 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.4.4 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:01:02 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:01:02 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
