66.249.75.155 - - [07/Mar/2016:18:34:21 -0800] "GET /_assets/DiMenna_204.jpg HTTP/1.1" 200 166478 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
66.249.75.147 - - [07/Mar/2016:18:34:36 -0800] "GET /_assets/DiMenna_203.jpg HTTP/1.1" 200 161202 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
66.249.75.147 - - [07/Mar/2016:18:34:42 -0800] "GET /_assets/DiMenna_205.jpg HTTP/1.1" 200 98621 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
66.249.75.147 - - [07/Mar/2016:18:34:52 -0800] "GET /_assets/DiMenna_209.jpg HTTP/1.1" 200 201297 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
157.55.39.40 - - [07/Mar/2016:18:58:57 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
108.52.129.221 - - [08/Mar/2016:09:49:05 -0800] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "dimennabrotherspainting.com"
108.52.129.221 - - [08/Mar/2016:09:49:05 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "dimennabrotherspainting.com"
108.52.129.221 - - [08/Mar/2016:09:49:05 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "dimennabrotherspainting.com"
108.52.129.221 - - [08/Mar/2016:09:49:05 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "dimennabrotherspainting.com"
108.52.129.221 - - [08/Mar/2016:09:49:05 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "dimennabrotherspainting.com"
108.52.129.221 - - [08/Mar/2016:09:49:05 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "dimennabrotherspainting.com"
108.52.129.221 - - [08/Mar/2016:09:49:06 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "dimennabrotherspainting.com"
180.76.15.134 - - [08/Mar/2016:10:34:28 -0800] "GET / HTTP/1.1" 200 7545 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:47 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:47 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:47 -0800] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
