2017/05/29 18:18:22 -0700 394 | 1496107102 | 82766 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/29 18:18:22 -0700 432 | 1496107102 | 82766 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/29 18:18:22 -0700 434 | 1496107102 | 82766 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2017/10/15 01:38:44 -0700 985 | 1508056724 | 5617 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/10/15 01:38:45 -0700 002 | 1508056725 | 5617 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/10/15 01:38:45 -0700 004 | 1508056725 | 5617 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2017/10/15 03:09:35 -0700 892 | 1508062175 | 9217 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/10/15 03:09:35 -0700 910 | 1508062175 | 9217 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/10/15 03:09:35 -0700 916 | 1508062175 | 9217 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/04/05 22:22:57 -0700 565 | 1522992177 | 45455 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bobdimenna/us1/yahoo_site_admin/cache/collection/fc1d5e53c7be80310e9be30dd1020b1e.www.dimennabrotherspainting.com.45455 for resource cacheResource: fileConnector
2018/04/20 22:47:37 -0700 946 | 1524289657 | 23614 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bobdimenna/us1/yahoo_site_admin/cache/collection/132315d6986a11c553e3c3ae6fa5bf4a.dimennabrotherspainting.com.23614 for resource cacheResource: fileConnector
2018/04/23 16:37:50 -0700 166 | 1524526670 | 45930 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bobdimenna/us1/yahoo_site_admin/cache/collection/fc1d5e53c7be80310e9be30dd1020b1e.dimennabrotherspainting.com.45930 for resource cacheResource: fileConnector
